,glass,ingredients,instruction_length,mean_alcohol_percentage,complexity_score,Cocktail,Ordinary Drink,Punch / Party Drink,ingredient_pc1,ingredient_pc2,ingredient_pc3,ingredient_pc4,ingredient_pc5,ingredient_pc6,ingredient_pc7,ingredient_pc8,ingredient_pc9,ingredient_pc10
16,1,3,84,10,5.999999999999999,0,1,0,-0.014981801967482437,-0.003451193584486334,-0.01572665642620361,-0.027330416871612327,0.03055433366944128,-0.08076705769291907,-0.0019387838121201204,0.0003726659918460335,-0.1299445341827406,0.03432078712227848
17,1,3,93,13,4.0,0,1,0,-0.014981801967482503,-0.0024205349210309904,0.01680968405683297,-0.06650181709006488,-0.034428879897237995,0.052576604724262094,-0.10319048946085473,-0.02644572453702614,0.059620482826579606,-0.0907869251876073
18,1,5,128,10,4.0,0,1,0,-0.014981801967482422,-0.002624963085683287,0.010862025114112803,-0.03089953298006988,0.04743753266648879,-0.029377230025773835,-0.015555852098182554,0.009697023959926205,0.12065527072267607,-0.14852138486184852
19,1,3,80,13,4.0,0,1,0,-0.01498180196748247,-0.0029401231728555825,-0.032515137998643404,-0.04004865694723378,0.01760974076055829,0.05002888153124415,0.09303150304685935,-0.0713170792785064,0.11785228682283842,-0.02560143021840373
20,1,3,113,13,5.999999999999999,0,1,0,-0.014981801967482533,-0.0024971954827756044,-0.006817571569628654,-0.027288266880733995,0.04793619054219824,-0.06429189030959205,0.08779639960654621,-0.010403975173991113,0.010775090030727847,0.010220387307870492
21,1,3,72,9,5.999999999999999,0,1,0,0.988798929853846,5.578928148826136e-17,-1.3357370765021417e-16,-1.9428902930940244e-16,-4.857225732735059e-17,-1.1102230246251564e-16,-7.63278329429795e-17,-1.3877787807814455e-17,-2.775557561562891e-17,6.938893903907227e-17
22,1,2,78,14,4.0,0,1,0,-0.014981801967482415,-0.0028975339718863386,-0.011192960065088945,-0.00039460403073156996,0.07234432949504617,-0.03715087048342837,0.08002140603028823,0.035628309170673056,-0.10721390924401829,0.038437081928158374
23,2,2,152,14,10.0,0,1,0,-0.014981801967482415,-0.0028975339718863525,0.0027872649196522864,-0.01111949809062514,0.009429968914564364,-0.002206563674056416,0.02842894460693549,-0.022560148475951333,-0.017484319418778083,0.03139917880623917
24,5,3,88,9,2.0,0,1,0,-0.014981801967482665,0.8865140102045648,6.93889390390723e-18,-4.857225732735061e-17,5.551115123125782e-17,-0.0,4.1633363423443364e-17,-2.0816681711721682e-17,-1.3877787807814455e-17,6.9388939039072276e-18
25,1,2,81,14,8.0,0,1,0,-0.014981801967482422,-0.0026249630856832904,0.021569292595421913,0.05364418134085537,0.017796664682783497,0.022638684608002044,-0.009202222212262445,-0.003960347627455932,-0.003140897110182963,-0.007684935313869173
26,7,3,155,9,10.0,0,1,0,-0.014981801967482422,-0.002624963085683287,-0.06262804260608115,-0.054097211218410886,-0.00947491058090144,-0.05940635706136988,-0.0021315557348536534,0.06281611134635266,-0.024964279163172967,0.014287894720447976
27,1,3,73,33,2.0,0,1,0,-0.014981801967482533,-0.002497195482775601,-0.10615107598632556,0.013737876714606162,0.09560968915005323,-0.01843793650421501,-0.025894897225946786,-0.035951567519085,0.15336513993207937,-0.010124955564218037
28,1,3,72,13,5.999999999999999,0,1,0,-0.01498180196748245,-0.0024971954827756027,-0.0020237022415259655,0.007617591719609235,0.040621013196373436,-0.09077631916787691,-0.020498790811211892,0.07013690844481851,0.009287581874795196,-0.0010577399542010533
29,2,6,220,4,10.0,0,1,0,-0.01498180196748245,-0.002497195482775602,-0.0651080090638284,-0.14230424075805315,0.032642098887734665,-0.012245199617441704,-0.006293359513898726,0.11554423931849717,0.011258075851870282,-0.01141397006830244
30,2,4,98,13,5.999999999999999,0,1,0,-0.01498180196748248,-0.00257385604452021,-0.05458063047651174,0.0035878140251335284,-0.012205721086234283,0.03410087937706455,-0.02484323814850228,-0.04128282051941878,-0.0001833507567196024,-0.09778700490208835
31,6,2,82,6,4.0,0,1,0,-0.014981801967482557,-0.0022586959573479195,-0.03310825042043741,-0.274119373631431,-0.17869774424982418,0.01402789382524273,0.0022664786163332762,-0.03768859042479763,0.024027540742761876,-0.018046744429879368
32,4,4,159,10,8.0,0,1,0,-0.014981801967482432,-0.0033404616619663384,-0.0341706668297584,0.037516021275204585,-0.08315536182466877,0.06172045379841412,-0.015402818578046764,-0.0004881091527039367,-0.030306843372291666,0.0577420816486871
33,1,3,71,13,5.999999999999999,0,1,0,-0.01498180196748244,-0.002965676693437122,0.09780852531664726,-0.016276670711249292,-0.017595243407489778,-0.035024571800418916,-0.06621731518364794,0.06530787613245188,0.051487049978742185,-0.0907366834153983
34,1,4,118,10,5.999999999999999,0,1,0,-0.01498180196748245,-0.003187140538477111,0.10481833963025819,-0.016866377172960703,0.25067833718563565,-0.09403885358223743,0.07915037215578793,-0.019570448884665585,0.06670055073620955,-0.08117265656170607
35,6,6,94,10,2.0,0,1,0,-0.01498180196748245,-0.002497195482775601,-0.015084726336635695,-0.10241749359728873,0.005671579755006275,-0.020059140199969287,0.04392638217231952,0.03808687192494153,0.03199185763469136,-0.03856307636432279
36,3,5,211,8,10.0,0,1,0,-0.01498180196748244,-0.002965676693437123,-0.018785565356765354,-0.04722817827216851,0.14350056863954122,-0.09466708927386733,-0.05888605359746198,-0.035627460285841246,0.08603694064963142,0.0053419464230018655
37,2,2,84,20,4.0,0,1,0,-0.014981801967482397,-0.003945228315729389,-0.018902774160298504,0.028098708034941695,0.027214273172337933,0.00791901819253702,-0.0036014504346643683,-0.01641714938782263,-0.023430133833729515,-0.050623441709363726
38,1,3,108,10,5.999999999999999,0,1,0,-0.014981801967482437,-0.003451193584486331,0.06993211425757186,0.01314977286129074,-0.03896867017101544,0.03504575071528864,-0.026367862957333003,0.14464809383859423,-0.15469665611696254,-0.04588441182836238
39,2,6,148,6,8.0,0,1,0,-0.014981801967482403,-0.0037663536716586285,0.09232703641136084,0.02221920166747313,0.008285116019289345,-0.11332946082859888,-0.0618959946283309,0.03575296335155468,-0.1517506477130001,0.02701706549290177
40,2,6,67,6,5.999999999999999,0,1,0,-0.014981801967482437,-0.0036556217491386335,-0.040453698589264245,-0.010772690487861393,-0.015166041888311778,-0.005949776616618399,-0.08069930941382034,-0.09755604497481256,0.027967592872848872,-0.034565818895645944
41,3,4,104,10,2.0,0,1,0,-0.014981801967482432,-0.0036385860687509416,0.0018720070461062167,-0.03694214485608747,-0.16015758546595762,-0.06323014374529877,-0.0951873538900654,-0.12797944104472542,-0.04366857698047104,0.01710226492218122
42,1,4,166,10,4.0,0,1,0,-0.01498180196748241,-0.0033830508629355636,0.028152151491481685,-0.009327159961625127,0.1665966712034145,0.06261790060054247,-0.008739182677848577,0.114124955206019,0.02446217138139686,0.0096674335473508
43,2,5,148,15,8.0,0,1,0,-0.014981801967482387,-0.003919674795147854,-0.019899009258024316,0.03367002216703065,-0.03909809151728237,0.05399234034181917,-0.01488315365353599,-0.17922607822601383,0.001620331458685781,-0.10471147562674787
44,1,6,187,6,8.0,0,1,0,-0.01498180196748244,-0.002965676693437121,-0.03680370532045868,0.01337988797611302,-0.018164748754398347,-0.09516017109194358,-0.10680690369293078,-0.1261910508220102,0.16013199408006945,-0.10597483647129342
45,1,4,122,10,5.999999999999999,0,1,0,-0.014981801967482434,-0.0031530691777017306,-0.17334809740825194,0.008933710621691808,0.038892928561817475,0.07804924784981636,0.05813225560335014,0.08137028475246576,0.04559094405247927,-0.008681670536540476
46,1,5,174,8,8.0,0,1,0,-0.01498180196748248,-0.00257385604452021,-0.08162873451475576,0.00025277995066485057,0.07057656208774753,0.07810366573567064,0.08562751675346184,-0.06148134554939694,0.033599574352708286,0.10950165435001
47,1,4,72,10,5.999999999999999,0,1,0,-0.014981801967482557,-0.0022586959573479195,0.003599454875212133,-0.008039289596393854,-0.11559263835859648,-0.05908997305895608,0.019265657319271063,0.08620819772511744,-0.10505450580070397,-0.006549105897721021
48,4,5,179,8,10.0,0,1,0,-0.014981801967482455,-0.002701623647427902,0.10632120242004728,-0.038686474714474235,0.13904084804206265,0.055213036372504194,-0.01092500049119933,0.06426249443239572,-0.02675721786059722,-0.054885625172322206
49,2,6,238,10,10.0,0,1,0,-0.014981801967482474,-0.002352392199480224,-0.01795947584498363,-0.06903435075143768,0.059734421299845054,0.05324686710054239,0.0891413045364087,0.05059888534424115,-0.07169636421891941,0.005221086917866199
50,3,5,176,10,5.999999999999999,0,1,0,-0.014981801967482557,-0.0022586959573479178,-0.09685390669077595,0.6939635716405842,-0.060790038875538764,0.03178377165454457,-0.06892124885611935,-0.036939596926120234,0.009240193334432772,-0.08375253925147658
51,4,5,172,10,5.999999999999999,0,1,0,-0.01498180196748248,-0.002573856044520212,-0.046879174621597325,0.4743243337780002,-0.005325218319067473,-0.06900662323315769,0.1206248280445222,0.08264440809970593,0.0027380446563847623,0.04030053237379197
52,4,5,109,8,5.999999999999999,0,1,0,-0.014981801967482432,-0.003340461661966338,0.012184630367511037,-0.0009753684684292881,0.16263328529917878,0.016703009318574033,0.009432531971124185,-0.19383835750599782,-0.09756925408118118,0.07421114932592404
