,category,glass,ingredients,instruction_length,mean_alcohol_percentage,complexity_score
113,Ordinary Drink,Collins glass,"['Cherry', 'Light Rum', 'Orgeat Syrup', 'Sweet and Sour', 'Triple Sec']",80,10,4.0
114,Cocktail,Cocktail glass,"['Gin', 'Cherry', 'Dry Vermouth', 'Orange Bitters', 'Triple Sec']",110,8,4.0
115,Cocktail,Cocktail glass,"['Gin', 'Dry Vermouth', 'Olive']",184,13,5.999999999999999
116,Ordinary Drink,Cocktail glass,"['Bourbon', 'Dark Rum', 'Heavy cream']",113,13,5.999999999999999
117,Ordinary Drink,Collins glass,"['Bourbon', 'Brandy', 'Carbonated Water', 'lemon', 'Light Rum', 'Powdered Sugar']",149,10,8.0
118,Ordinary Drink,Old-fashioned glass,"['Bitters', 'Grapefruit Juice', 'Light Rum']",96,10,4.0
119,Ordinary Drink,Whiskey sour glass,"['Blended Whiskey', 'Cherry', 'lemon', 'Red Wine', 'Sugar']",189,10,8.0
120,Ordinary Drink,Highball glass,"['Gin', 'Cherry Brandy', 'Ginger Ale', 'Orange Juice']",132,10,5.999999999999999
121,Ordinary Drink,Cocktail glass,"['Vodka', 'Amaretto', 'Creme De Cacao', 'Light Cream', 'Triple Sec']",80,13,5.999999999999999
122,Ordinary Drink,White wine glass,"['Gin', 'Bitters']",155,20,10.0
123,Ordinary Drink,Cocktail glass,"['Gin', 'Egg White', 'Grenadine', 'Light Cream']",72,10,5.999999999999999
124,Ordinary Drink,Cocktail glass,"['Gin', 'Creme De Cacao']",68,20,5.999999999999999
125,Ordinary Drink,Pousse cafe glass,"['Green Creme de Menthe', 'Grenadine']",107,10,4.0
126,Ordinary Drink,Cocktail glass,"['Brandy', 'Port']",67,10,5.999999999999999
127,Ordinary Drink,Whiskey sour glass,"['Egg', 'Light Cream', 'Nutmeg', 'Port', 'Powdered Sugar']",118,10,4.0
128,Ordinary Drink,Cocktail glass,"['Brandy', 'lemon', 'Light Rum', 'Raspberry syrup']",72,10,5.999999999999999
129,Ordinary Drink,Cocktail glass,"['Light Rum', 'Lime', 'Sherry']",71,10,5.999999999999999
130,Ordinary Drink,Cocktail glass,"['Coffee Brandy', 'Lime vodka', 'Sherry']",72,10,5.999999999999999
131,Ordinary Drink,Collins glass,"['Grenadine', 'Lemon-lime soda', 'Red Wine']",108,4,4.0
132,Ordinary Drink,Cocktail glass,"['Gin', 'Benedictine', 'Dry Vermouth']",71,13,5.999999999999999
133,Ordinary Drink,Cocktail glass,"['Dark Rum', 'Kahlua', 'Light Cream', 'Nutmeg']",145,10,8.0
